month,average_resale_price
2017-01,427506.9848101266
2017-02,447398.73456221196
2017-03,445029.89694167103
2017-04,438629.2722349103
2017-05,443789.3212121212
2017-06,448502.0360618203
2017-07,438739.63033707865
2017-08,445079.46530612244
2017-09,452568.35259082785
2017-10,443583.7658263305
2017-11,442676.7269362993
2017-12,449620.0
2018-01,446379.56623134325
2018-02,443147.78360101435
2018-03,457069.77033492824
2018-04,448036.43113772455
2018-05,448618.33985048876
2018-06,442568.9270516717
2018-07,444768.8498817967
2018-08,441251.152
2018-09,433362.4955269793
2018-10,429800.8066465257
2018-11,429753.8600536193
2018-12,427750.73647224176
2019-01,429810.53612903226
2019-02,428578.589409056
2019-03,433256.5438596491
2019-04,431283.9456635319
2019-05,433260.52030947775
2019-06,431359.6581605529
2019-07,433560.48549502605
2019-08,432430.6262526316
2019-09,432455.4672131148
2019-10,429787.84353741497
2019-11,434139.12722891563
2019-12,431583.52705627703
2020-01,430529.0041862899
2020-02,438946.63335340156
2020-03,434557.92823954567
2020-04,441208.9926415094
2020-05,445865.5096418733
2020-06,432101.72800656274
2020-07,436348.89160081465
2020-08,448067.84778556705
2020-09,459840.3491935484
2020-10,477105.04249174916
2020-11,473242.8642826368
2020-12,481814.02051488333
2021-01,486749.0312771085
2021-02,493091.9165338276
2021-03,492047.2154854568
2021-04,501459.4422994423
2021-05,511711.67842535785
2021-06,511445.0443671161
2021-07,510371.0136103799
2021-08,517684.3245710113
2021-09,520104.5940357853
2021-10,522104.8225160256
2021-11,532135.7157426901
2021-12,531316.7561983471
2022-01,525871.0122859484
2022-02,535022.9244186047
2022-03,536303.3661034941
2022-04,545006.2668788683
2022-05,545739.1783271375
2022-06,557369.8103044496
2022-07,558518.2041507836
2022-08,550441.0324296233
2022-09,564901.0818781529
2022-10,568270.061799591
2022-11,557678.5625
2022-12,549908.4770635631
2023-01,558751.4809882353
2023-02,552036.0577027763
2023-03,566729.1093017128
2023-04,573981.427487368
2023-05,570281.498664292
2023-06,574244.939524838
2023-07,577166.0827471992
2023-08,577792.4605996759
2023-09,575095.9620253164
2023-10,575464.4035981735
2023-11,581281.0539342724
2023-12,578403.9945191828
2024-01,591119.1062857143
2024-02,585145.1991917294
2024-03,591285.8363286265
