"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"Actual.nlogo"
"government policy"
"04/14/2024 15:44:09:113 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-75","75"
"[run number]","1","1","2","2"
"government_policy?","true",,"false",
"[reporter]","[step]","total_houses_sold_average","[step]","total_houses_sold_average"
"[final]","24","786496.5421050838","24","850884.1031262523"
"[min]","0","0","0","0"
"[max]","24","786496.5421050838","24","850884.1031262523"
"[mean]","12","506510.5184669817","12","538365.5032195593"
"[total steps]","24","24","24","24"

"[all run data]","[step]","total_houses_sold_average","[step]","total_houses_sold_average"
,"0","0","0","0"
,"1","375680.53570584557","1","325267.8146027879"
,"2","412828.2397998546","2","363308.55922366877"
,"3","409762.02649304934","3","377240.5933784839"
,"4","407298.76835251966","4","397318.7259698191"
,"5","392771.8457874838","5","395433.82849315356"
,"6","392772.52853483235","6","402543.0076547134"
,"7","416268.2168868169","7","433609.098317086"
,"8","425980.14873666","8","459306.7825109074"
,"9","450354.7767853376","9","492242.79260555044"
,"10","468909.38705515664","10","513597.21273413184"
,"11","479168.30105063773","11","524327.5664168834"
,"12","487611.7731632806","12","521579.86528944847"
,"13","500964.162946677","13","543740.5130115187"
,"14","526942.7838307136","14","555007.6498269468"
,"15","535995.4841839217","15","583896.4007027118"
,"16","551673.5634365042","16","619682.644127641"
,"17","565898.6052869784","17","650840.4136393799"
,"18","580015.9292307202","18","661992.7777395617"
,"19","640819.5364920227","19","686034.0100637794"
,"20","663757.0565838849","20","718832.1653533462"
,"21","700335.3822692438","21","756110.2699943404"
,"22","729376.7931200505","22","798235.6018357557"
,"23","761080.573837268","23","828105.1838711147"
,"24","786496.5421050838","24","850884.1031262523"
